english,klingon
The leaves are yellow!,SuD pormey 'ej wov!
Please show me on the map.,pu'jInDaq HI'ang!
This sure tastes good!,'eybej Dochvam!
I think it's strange that no one is on the street this time of the day.,DaH HurDaq pagh tu'lu'mo' Huj 'e' vIQub.
Can you explain why you dislike him?,ghaH Dapar. meq DaQIjlaH'a'?
I've never seen anything like it.,not 'oH rurbogh vay' vIleghpu'.
Language builds the world.,qo' chenmoH Hol.
Sea turtles have a long lifespan.,nI' bIQ la'SIv yInmey.
I don't mind the cold.,bIr 'e' vISaHbe'.
He sat next to me.,retlhwIjDaq ba'taH.
My mother was crying.,SaQtaH SoSwI'.
The mountaineer was as hungry as a wolf.,ghung toSwI'; qagh rur.
Easterly wind blows.,chanvo' chol SuS.
I gave the beggar all the money I had on me.,qoy'wI'vaD Hoch Huch vIghajpu'bogh vInob.
"A is enough, but B is not enough.","yap 'at, 'ach yapbe' bay."
Isn't there a pharmacy nearby?,Sum'a' pagh Hergh ngevwI'?
Damn.,ghuy'.
My home is big.,tIn juHwIj.
How do you explain this?,chay' DaQIj?
"To be, or not to be: that is the question.",taH pagh taHbe'. DaH mu'tlheghvam vIqelnIS.
Give me my sword.,'etlhwIj HInob.
I'm lost. Could you please help me?,DaqwIj vISovbe'. choQaHlaH'a'?
I'm lost. Could you please help me?,jIHtaHbogh naDev vISovbe'. HIQaH.
Don't forget to bring the camera with you.,mIllogh qonwI' vIqemnIS 'e' yIlIjQo'!
Language opens worlds.,qo'mey poSmoH Hol.
I no longer love you.,qamuSHa'be'choH.
Bears can climb trees.,SorDaq toSlaH mIl'oD.
I don't know them.,chaH vISovbe'.
Do you have a boyfriend or a girlfriend? Where did you meet them?,parmaqqay Daghaj'a'? nuqDaq DaqIHpu'?
This bridge is the longest bridge.,QI'e' QIvam tIq law' Hoch tIq puS.
Teach those sentences.,mu'tlheghmeyvetlh tIghojmoH!
Let's go on.,mayItqa'jaj.
What is Tom trying to say?,nuq jatlh 'e' nIDtaH tam?
What did Tom tell Mary not to do?,nuq ta' me'rIy' 'e' ra' tam?
Tom works for a translation agency.,mughwI' tum toy' tam.
Tom was flabbergasted when he heard the news.,De'vam QoyDI' tam yay'choH.
Tom wants to become an electrician.,'ul pat mutlhwI' moj 'e' neH tam.
Tom wants Mary to meet his mother.,SoSDaj ghom me'rIy' neH tam.
Tom took an overdose of sleeping pills.,QongmeH Hergh 'Iq Sop tam.
Tom sometimes wears sunglasses indoors.,rut qach qoDDaq mIn QanwI' nguv tuQtaH tam.
Tom seems to have lost his key.,ngaQHa'moHwI'Daj chIllaw'pu' tam.
Tom knew that the story wasn't true.,teHbe' lut 'e' Sov tam.
Tom doesn't think that he needs to use deodorant.,noSvagh lo'nISbe' 'e' Har tam.
Tom didn't want Mary to know.,Sov merI' neHbe' tom.
Tom didn't tell Mary the truth.,me'rIy'vaD vItbe' tam.
Tom didn't know that Mary understood French.,vIraS Hol yaj *Mary 'e' Sovbe' *Tom.
Tom didn't know Mary had a brother.,loDnI' ghaj me'rIy' 'e' Sovbe' tam.
Tom didn't have on his shoes.,waqmeyDaj tuQbe' tam.
Tom couldn't stop hiccuping.,bur 'e' mevlaHbe' tom.
Tom could hardly walk.,tlhoS yItlaHbe' tam.
Tom can't get his ring off his finger.,nItlhDajvo' QebDaj tuQmoHHa'laHbe' tam.
Tom and Mary argue with each other all the time.,Hochlogh ghoHchuq tam me'rIy' je.
Mary was definitely the prettiest girl at the party.,"qepvetlh jeSwI' vIqelDI', merI' 'IH law'bej Hoch 'IH puSbej."
I'll let you know if I find anything interesting.,Doch Daj vItu'chugh qaja'qang.
Do you have enough energy?,yap'a' HoS Daghajbogh?
You're what?,SoH nuq'e'?
The teacher is Chinese.,jungwoqngan ghaH ghojmoHwI''e'.
I don't like this book.,paqvam vIpar.
Do you like Chinese food?,jungwoq Soj DaparHa''a'?
I don't like tea.,Dargh vIpar.
"Far away from you, I sleep.",SoHDaq jIHop jIQongtaHvIS.
Bananas are delicious.,'ey banan naHmey.
I eat an apple.,'epIl naH vISop.
My computer is expensive.,wagh De'wI'wIj.
Well done! You have drawn this picture nicely.,majQa'! mIlloghvam DaDIjchu'ta'.
His death made everyone sad.,Hoch 'IQmoHtaH HeghDaj.
Tom found himself starting to hate his wife.,be'nalDaj muSchoHtaH 'e' tu' tam.
He is my brother's friend.,loDnI'wI' jup ghaH.
God created the earth in six days.,qaStaHvIS jav jaj tera' chenmoHta' Qun'a'.
There is no life without music.,QoQ Hutlhbogh yIn'e' tu'lu'be'.
I have a pair of pears.,cha' per naH vIghaj.
They say it will rain.,SIS lujatlh.
Do I have to go to the party?,lopno' vIjeSnIS'a'?
Have a good trip!,QaQjaj lenglIj.
Have a good trip!,QaQjaj lengraj.
Your car is more expensive than mine.,puH DujlIj wagh law' puH DujwIj wagh puS.
Some water was found in the dead man's lungs.,Heghpu'wI' taghDu'Daq bIQ tu'lu'.
The water was found in the dead man's lungs.,Heghpu'bogh loD taghDaq bIQvam tu'lu'pu'.
We hate this enemy of the country.,Sep jaghvam wImuS.
The soup is too hot.,tlhoy tuj chatlh.
But I don't want to escape; I want to see Italy.,'ach jInargh vIneHbe'. 'Italya' vIlegh vIneH.
It's over.,rIntaH.
I can't find him anywhere.,paghDaq vISamlaH.
I can't find him anywhere.,paghDaq vItu'.
A woman without a man is like a fish without a bicycle.,qam Do Duj Hutlhbogh ghotI''e' rur loD Hutlhbogh be''e'.
The president is fully aware of the situation.,wanI' Sovchu' che'wI'.
Try to find it.,'oH DaSam 'e' yInID!
You're a funny guy.,tlhaQwI' SoH.
You're a funny girl.,be'Hom tlhaQ SoH.
We'll begin shortly.,tugh matagh.
She has pretty eyes.,'IH mInDu'Daj.
Do you want a glass? There is one on the table.,HIvje' DaneH'a'? raSDaq wa' tu'lu'.
They kidnapped me.,muquchta' chaH.
He's my new friend.,jupwI' chu' ghaH.
Many businesses were plundered during the riots.,qaStaHvIS Daw' malja'mey law'Daq Hejlu'.
They fill you alone.,nIteb nIteb.
Cook for me.,jIHvaD yIvut!
She is strong.,HoS.
You're damn right.,bIlughchu'qu'.
There's no doubt that he's innocent.,chun 'e' Honlu'be'.
We saw them leave.,mej chaH 'e' wIleghpu'.
Lieutenant Worf is a Klingon who serves as an officer aboard the Federation starship Enterprise.,DIvI' 'ejDo' 'entepray'Daq yaS gheSta'bogh tlhIngan ghaH wo'rIv Sogh'e'.
Do you see the color? It means you're pregnant!,nguv 'e' Dalegh'a'? bIyatlh 'e' 'oS!
You are important.,bIpotlh SoH.
I'm fat.,jIpI'.
I'm fat.,jIror.
The bug is thirsty.,'oj ghew.
I have a fruit.,naH vIghaj.
I eat using a utensil.,jISopmeH jan vIlo'.
I don't like the ocean.,bIQ'a' vIpar.
We gave them food.,chaHvaD Soj wInob.
We gave them food.,bIHvaD Soj wInob.
I steal it from you.,SoHvo' vInIH.
It's the voice of an old woman.,be' qan ghogh 'oH.
It's become dark. Would you turn on the light?,HurghchoHpu'. wovmoHwI' yIchu'!
Believe in yourself.,yIvoq'egh!
When does it start?,ghorgh tagh?
Are you home?,juHDaq SoHtaH'a'?
This bicycle is mine. Yours is over there.,qam Do DujwIj 'oH Dujvam'e'. pa' 'oHtaH qam Do DujlIj.
Spanish and Portuguese are very similar languages.,rurqu'chuq 'eSpanya' Hol portughal Hol je.
Try to encourage me a little.,loQ chotungHa' 'e' yInID.
I've lost.,jIlujpu'.
"She doesn't eat meat, does she?",Ha'DIbaH Sopbe' qar'a'?
We kissed each other.,machopchuqta'.
The raven is regarded a bird of bad omen.,maQmIgh bo'Degh 'oH notqa' net Qub.
"I am Finnish, but I speak also Swedish.",SuwomIyngan jIH 'ach Suverya' Hol vIjatlh je.
I see the boy.,loDHom vIlegh.
The girl is drinking tea.,Dargh tlhutlhtaH be'Hom.
"If you rest, you will be back on your feet again soon.",bIleSchugh vaj tugh bIpIvqa'.
I believe that we do not need to limit these suffixes now.,DaH mojaqmeyvam DIvuSnISbe' 'e' vIHar.
Kill them all. God will recognize his own.,Hoch tIHoH. nuvpu'Daj ghov Qun.
The sword can be used to protect the body.,porgh QanmeH 'etlh lo'laH vay'.
"I can't walk anymore, Dad! Carry me please!","jIyItlaHbe'choH, vavoy! HIqeng!"
Your death is my life.,yInwIj 'oH HeghlIj'e'.
Samuel helps anyone that asks him.,tlhobbogh Hoch QaH Samwel.
What do we draw?,nuq wIDIj?
"What are you thinking about? ""I'm thinking about you.""",«nuq DabuStaH?» «qabuStaH.»
You must realize that I can't help you.,qaQaHlaHbe' 'e' DatlhojnIS.
Would you mind if I took a break?,jIleS 'a' DanaDHa''a'?
Would you mind if I took a break?,jIleS 'e' bonaDHa''a'?
This may be your last chance.,chaq 'eblIj Qav 'oH 'ebvam'e'.
Please don't die.,yIHeghQo'neS!
Let's dance.,Ha'! mamI'!
Tom was totally wasted.,chechqu' tam.
Tom was terrified.,tam ghIjqu'lu'.
Tom was in the shower.,bIQ ghaywI' pa'Daq ghaHtaH tam.
Tom unlocked the car door.,puH Duj lojmIt ngaQHa'moH tam.
Tom took the job.,Qu' laj tam.
Tom thinks that's strange.,Huj 'e' Qub tam.
"Here, let me take a stab at it.","toH, jInID 'e' yIchaw'!"
I want to go to Sweden.,Suverya' vIjaH vIneH.
I eat a banana.,banan naH vISop.
I speak Portuguese fluently.,portughal Hol vIjatlhlaHchu'.
I forgot my credit card at home.,juHDaq Huch chaw'wIj vIlIjpu'.
My hip hurts.,'oy'taH 'IvtIHwIj.
We can come again to this place.,Daqvam wIcheghlaH.
A leaf is falling.,pumlI' por.
We are watching.,qabejtaH.
My heart sings to see you.,qaleghDI' bom tIqwIj.
Come to help me.,choQaHmeH HIghoS!
Breathe in deeply.,yIpurchu'!
Peel two of the bananas.,cha' banan naHmeyvo' yub tIteq.
She is my first love.,bangwI' wa'DIch ghaH.
I eat my breakfast at seven o'clock.,rep Soch nIQwIj jISop.
Do not forget!,yIlIjQo'!
Now he is eating dinner.,DaH 'uQ SoptaH.
What did you say? Dead?,nuqjatlh? Heghpu''a'?
"No, he is my friend, Doctor Watson.",ghobe' watSen Qel. jupwI' ghaH.
"No, he is my friend, Doctor Watson.",ghobe'. jupwI' ghaH watSen Qel'e'.
You are a student.,ghojwI' SoH.
I am not like you.,qarurbe'.
Tom seems happy.,Quchlaw' *Tom.
Tom paid for it by credit card.,'oH DIlmeH Huch chaw' lo' *Tom.
Tom paid by credit card.,DIlmeH Huch chaw' lo' *Tom.
Tom opened a window.,Qorwagh poSmoH *Tom.
Tom never wears a hat.,not mIv tuQ tam.
Tom might have stolen Mary's camera.,chaq *Mary mIllogh qonwI' nIHpu' *Tom.
Tom is our guest.,mebma' ghaH tam'e'.
Why did you come here today?,qatlh DaHjaj jughoSta'?
I am a student in a university.,'ampaSDaq HaDwI' jIH.
I'd like to drink something.,vay' vItlhutlh vIneH.
I told her straight.,ghaH vIja'DI' jIpIQ.
I tell it like it is.,jIjatlhDI' jIpIQ.
How can I pay for it?,chay' vIDIllaH?
Tom is a sincere person.,nuv 'Il ghaH tam'e'.
Tom is a sincere person.,ghot 'Il ghaH tam'e'.
Tom is a sincere person.,'IlwI' ghaH tam'e'.
He guided us.,nuDevta'.
What are you learning?,nuq DaghojlI'?
What are you studying?,nuq DaHaDtaH?
She looks like her aunt.,me'Daj rur.
She looks like her aunt.,me'nalDaj rur.
She looks like her aunt.,'e'mamDaj rur.
She looks like her aunt.,'e'mamnalDaj rur.
I'm testing my new camera.,mIllogh qonwI'wIj chu' vIwaH.
My house is nice.,belmoH juH qachwIj.
The man is old.,qan loD.
All of our blood goes through our kidneys about sixty times a day.,Hoch jaj javmaHlogh rajma'Du'maj vegh Hoch 'Iwmaj.
He's married and has three children.,Sawta' ghaH 'ej wej puq ghaj.
My TV is broken.,Duy' HaSta jIHwIj.
I think she's forty.,loSmaH ben boghpu' 'e' vIHar.
Bring my hat.,mIvwIj yIqem!
Tom heard a noise.,wab Qoy tam.
I have to go home now.,DaH juHwIj vIjaHnIS.
"If he donates a kidney, he can survive with the other one.","wa' rajma' nobchugh, taHlaH ghaH wa' latlh ghajmo'."
There are fifty stars.,vaghmaH Hov tu'lu'.
I'm not very good.,jIQaQqu'be'.
Hurry!,tugh!
I'll do it when Hell freezes over.,vIta' ghe'torvo' narghDI' qa'pu'.
Do not open before the train stops.,"vIHtaHchugh lupwI' mIr, yIpoSmoHQo'!"
It will be also interesting.,Daj je.
He has 12 sons.,wa'maH cha' puqloDpu' ghaj.
What the hell is that?,nuq 'oH Dochvetlh'e' jay'?
You should not be afraid of the future.,pIq DaHajbe'nIS.
Is this a flower?,'InSong 'oH'a'?
The boy and the man are drinking water.,bIQ lutlhutlhtaH loDHom loD je.
I can't sleep.,jIQonglaHbe'.
Can you speak my language?,HolwIj DajatlhlaH'a'?
I want a computer.,De'wI' vIneH.
I'm eating fruits because I'm hungry.,jIghungmo' naHmey vISoptaH.
He's a bank officer.,beylI' yaS ghaH.
I've read the dictionary cover to cover.,mu'ghom vIlaDchu'ta'.
I'm feeling a little sad today.,DaHjaj loQ jI'IQ.
I may have mistaken you with my other friend who has the same name!,chaq SoH pong rap ghajbogh latlh jupwI''e' je SamISmoH!
He takes a bath every morning.,Hoch jaj po HaH'egh.
"I'm sorry, my father's not here.",jIQoS. naDev ghaHtaHbe' vavwI''e'.
I'm about to die.,tugh jIHegh.
She is walking.,yIttaH ghaH.
Don't buy this painting; it's a fake.,naghvam beQ yIje'Qo'! ngeb.
Do you know how his father died?,chay' Heghpu' vavDaj? bISov'a'?
The concept doesn’t make sense.,Dap 'oH qechvam'e'.
"She is not a singer, but an actress.","bomwI' ghaHbe', 'a DawI' ghaH."
The doctor can't examine the patient being drunk.,SID nuDlaHbe'taH Qel chechtaHmo'.
I said it!,vIjatlhta'!
She lived for a long time.,nI'pu' yInDaj.
She put all her jewels into a little red box.,Doqqu'bogh 'aplo' machDaq Hoch naghbochmeyDaj lan.
I have thirteen cats.,wa'maH wej vIghro'mey vIghaj.
That book is available in only one store.,wa' ngevwI' qachDaq neH paqvetlh ngevlu'.
He has stopped smoking.,tlhIch pur 'e' mevta'.
"Yes, I am very scared of it.",HISlaH. mughIjqu'.
Upon a pear tree grows a pear.,per SorDaq DeHchoH per naH.
Remind me later.,ghIq HIqawmoH!
I wear sunglasses at night.,mIn QanwI' nguv vItuQ qaStaHvIS ram.
What time is the plane scheduled to land?,ghorgh Saq muD Duj net nab?
I must translate the sentences.,mu'tlheghmey vImughnIS.
Horses are animals.,Ha'DIbaHmey bIH tera' Sarghmey'e'.
A lot of wild animals died because there wasn't any food.,Hegh tlhabbogh Ha'DIbaHmey law' Soj luHutlhmo'.
An actor has to memorize his lines.,mu'tlheghmeyDaj qawnIS ghetwI'.
I want it now!,DaH vIneH!
He was walking in front of the car.,puH Duj tlhopDaq yIttaH.
She intends to participate in a beauty contest.,'IH qaD jeS 'e' Hech ghaH.
"He's my uncle, because my father is his brother.","loDnI'Daj ghaHmo' vavwI''e', tennuSwI' ghaH."
My clock seems to be broken.,QapHa'law' tlhaqwIj.
Why does your mother always wear sunglasses?,qatlh reH mIn QanwI' nguv tuQtaH SoSlI'?
What the hell is going on here?,naDev qaS nuq jay'?
"If you like it, you can keep it!","DaparHa'chugh, DapollaH!"
Don't forget your things.,Dochmeyraj tIlIjQo'!
Don't forget your stuff.,Dochmeyraj tIlIjQo'!
"That student is very fast at running, isn't he?",nom qetlaHqu' qar'a' ghojwI'vetlh?
This year is two thousand eleven.,DIS cha'SaD wa'maH wa' 'oH DISvam'e'.
Cats don't eat bananas.,banan naHmey Sopbe' vIghro'mey.
"Some women love their husband so much, that, in order not to wear him out too much, they borrow their friends' husbands.","loDnalpu'chaj Qejqu'mo' 'op be'nalpu', QopmoHbe'meH juppu'chaj loDnalpu' ngIp."
They broke the silence.,tam lumev.
He is hated.,ghaH muSlu'.
We'll meet when you return!,bIcheghDI' maghom!
The Sun is very far from the Earth.,tera'Daq Hopqu' jul.
I have no idea. That's why I'm asking.,jISovbe'chu'. vaj jIghel.
Whose book is this on the desk?,'Iv paq 'oH raSDaq 'oHtaHbogh paqvam'e'?
I am thankful for music.,QoQmo' jItlho'.
"I'm not sure, but he might come.","jISovbejbe', 'ach chaq nughoS ghaH."
His data is often inaccurate.,pIj qarbe' De'Daj.
You're doing it wrong.,Data'Ha'taH.
Clean the table already!,DaH raS yISay'moH!
She lost a book.,paq chIlpu'.
Who's the person sitting at the other end of the table?,raS 'er'InDaq ba'taHbogh ghot 'Iv?
I am not your love.,banglI' jIHbe'.
I use Twitter.,*Twitter* vIlo'.
This land is your land.,SeplIj 'oH Sepvam'e'.
I've heard Italian is a tricky language.,Hol Qatlh 'oHlaw' 'Italya' Hol'e'.
Animals have sharp teeth.,Ho'Du' jej ghaj Ha'DIbaHmey.
You are pregnant.,puq Daqeng.
What is a god?,Qun nuq?
"In the land of the blind, the one-eyed man is king.",leghlaHbe'wI'pu' qo'Daq che' wa' mIn ghajbogh loD'e'.
Shut up. I'm on my holiday. All I want to hear is the birds singing.,bIjatlh 'e' yImev! jIghIQtaH. bo'Degh bom mob vIQoy vIneH.
My brother will kill me.,muHoH loDnI'wI'.
Neither can I explain it.,vIQIjlaHbe' je.
He didn't order dinner yet.,wej 'uQ poQ.
She ordered three dinners.,wej 'uQ poQ.
She didn't order dinner yet.,wej 'uQ poQ.
"Please buy me a turtle, Mother, please buy me a turtle.",jIHvaD la'SIv yIje'neS SoS! jIHvaD la'SIv yIje'neS!
"Unfortunately, the information is accurate.",Do'Ha' qar De'vam.
His wife seems to be a foreigner.,nov ghaHlaw' be'nalDaj'e'.
Oh no!,ghobe'!
I'm depressed.,jI'It.
You should take care of yourself.,bIQorgh'eghnIS.
This book is interesting.,Daj paqvam.
I should like to thank you for your cooperation.,bIjIjmo' qatlho'.
"Damn, it's chilly out.",HurDaq bIrtaH jay'!
He is young but clever.,Qup 'ach val.
Could you please call me back tomorrow?,wa'leS chorI'qa'laHneS'a'?
He drinks tea and listens to music.,Dargh tlhutlh 'ej QoQ Qoy.
He has lots of money.,Huch law' ghaj.
Can we speak now?,DaH maja'chuqlaH'a'?
He walked slowly so the child could follow.,"ghaH tlha'laHmeH puq, QIt yIt."
He didn't need to bring an umbrella.,SIS yoD qemnISbe'.
He tried to be brave while he was being held hostage.,vub ghaHtaHvIS yoHtaH 'e' nID.
My parents are dead.,Heghpu' vavwI' SoSwI' je.
My cat fought with another cat.,latlh vIghro' ghob vIghro'wIj.
She left her children.,puqpu'Daj lonpu'.
I learn ten new words every day.,Hoch jaj wa'maH mu'mey chu' vIghoj.
I'll explain the incident.,wanI' vIQIj.
Tell us something.,maHvaD vay' yIja'.
I saw my mother hiding the cake.,chab So' SoSwI' 'e' vIleghpu'.
Math is a bitch.,petaQ 'oH mI'QeD'e'.
Am I the father?,vavDaj jIH'a'?
What is this place?,Daqvam nuq?
She's my wife.,be'nalwI' ghaH.
What alleviates the pain?,'oy'Ha'moH nuq?
"Shut up, you idiot!",bIjatlh 'e' yImev qoH!
I don't know anyone by that name.,pongvam ghajbogh vay''e' vISovbe'.
She's not interested in her English lessons.,DIvI' Hol paQDI'norghDaj SaHHa'.
Don't confuse opinions with facts.,vuD ngoD je yImISmoHQo'!
Her son will succeed for sure.,Qapbej puqloDDaj.
My sister and I have come.,maghoSta' be'nI'wI' jIH je.
Four thousand sentences may be translated in one year by a Klingon speaking man.,qaStaHvIS wa' DIS loSSaD mu'tlhegh mughlaH tlhIngan Hol jatlhlaHbogh loD'e'.
Mary showed me the letter.,jIHvaD QIn ghItlh 'ang me'rIy'.
I will ask him tomorrow.,wa'leS vIghel.
I have to find the perfect place.,Daq pup vISamnIS.
Anybody could slip up like that.,jaSHa' QaghlaH Hoch.
Do you want me to help you?,qaQaH DaneH'a'?
Do you want me to help you?,SaQaH boneH'a'?
He who is born in Sweden is Swedish.,"Suverya'Daq boghpu'chugh vay', Suverya'ngan ghaH."
I found a huge sealed box when I opened the door to my house.,juHwIj lojmIt vIpoSmoHpu'DI' 'aplo''a' ngaQ vItu'.
What is 6 subtracted from 10?,wa'maH boqHa' jav; chen nuq?
Which do you think she chose?,nuq wIv 'e' DaHar?
"Buy me a turtle, Mom, please buy me a turtle!",jIHvaD la'SIv yIje' SoS! jIHvaD la'SIv yIje'neS!
No one will stop me.,mubot pagh.
My battery is flat.,chIm 'ul 'aplo'wIj.
My battery is dead.,chImtaH 'ul 'aplo'wIj.
He began skinning the animal.,Ha'DIbaH SurghchoH.
He has ten children.,wa'maH puqpu' ghaj.
Thank you very much. I appreciate your help.,qatlho'qu'. choQaH 'e' vInaD.
"Even though Bob was in disguise, I recognized him as soon as I saw him.",jech tuQtaH bab'e' 'ach vIleghDI' SIbI' vIghov.
Didn't you know turtles lay eggs?,QIm ghaj la'SIvmey 'e' DaSovbe''a'?
That's brilliant!,majQa'!
Why are we running?,qatlh maqettaH?
We know his name very well.,pongDaj wISovchu'.
I am not a student.,ghojwI' jIHbe'.
The person in question is now staying in the Unites States.,DaH SepjIjQa'Daq ghaHtaH nuvvam'e'.
Is she going to go to the United States this year?,DISvam 'amerI'qa' SepjIjQa'Daq jaH'a'?
Do turtles have teeth?,Ho'Du' ghaj'a' la'SIvmey?
Mary isn't really sick. She's faking it.,ropbe' me'rIy' 'ach ghet.
Mary isn't really sick. She's just pretending to be sick.,ropbe' me'rIy'. rop 'e' ghet neH.
Mary is saving money to go to Japan.,nIpon jaHmeH Huch vI'moHlI' me'rIy'.
What the hell are you doing here?,naDev nuq bIta'taH jay'?
"Man, what the hell are you looking for?",nuq Danej jay'?
Who lives in this house?,qachvam Dab 'Iv?
You must be mad!,bImaw'ba'!
Did you mean that seriously?,bIjatlhpu'DI' bISaghtaH'a'?
"Because I admired his courage, I trusted him.",toDujDaj vIHo'mo' ghaH vIvoqpu'.
